dial_name,turn_id,context,query,gold,s2s,larl,mog,message
PMUL2497.json,8,"U1: hi ! i would like to find a restaurant located in the [value_area] please .<br/>S1: there are [value_count] restaurant -s in the [value_area] did you have a preferred cuisine type ?<br/>U2: [value_food] , please , and i would like someplace [value_pricerange] -ly priced .<br/>S2: there are [value_count] attraction -s that fit your criteria which are [attraction_name] and [attraction_name] . which [value_count] do you prefer ?<br/>U3: you pick and book me on [value_day] . [value_count] people at [value_time] .<br/>S3: i choose [attraction_name] . your reference is [attraction_reference] . how else can i assist ? thanks !<br/>U4: i would also like to see somewhere fun to go in the [value_area] of town .<br/>S4: there are many fun things to do in the [value_area] . do you know what type of attraction you would like ?<br/>U5: i would like to visit an entertainment attraction<br/>S5: i am sorry , there are no entertainment attractions in the [value_area] of town . is there anything else i can assist you with today ?<br/>U6: can you search for a boat attraction instead then ? and provide the phone number for me please .<br/>S6: there are [value_count] . [attraction_name] , located at [attraction_address] , and [attraction_name] , at [attraction_address] . which would you prefer ?<br/>U7: i prefer [attraction_name] . could you also give me the phone number to [attraction_name] also ?<br/>S7: the phone number for [attraction_name] is [attraction_phone] . is there anything else i can help you with ?<br/>U8: i need a cab too please , arriving by my booked time , car type and contact number would be helpful too please .<br/>S8: you need a cab to get you to the restaurant before the booked time and where do you need cab to pick you up at ?","from [attraction_name] , please .","a [taxi_type] is booked , with contact number [taxi_phone]",i have booked a taxi for you . it will be a [taxi_type] and the contact number is [taxi_phone] .,i have booked you a taxi . it is a [taxi_type] and the contact number is [taxi_phone] .,i have booked a [taxi_type] for you . the contact number is [taxi_phone] . is there anything else i can help you with ?,"You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should serve <span class='emphasis'>modern european</span> food<br/>The restaurant should be in the <span class='emphasis'>moderate</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>7 people</span> at <span class='emphasis'>19:30</span> on <span class='emphasis'>wednesday</span><br/>If the booking fails how about <span class='emphasis'>friday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>entertainment</span> and should be <span class='emphasis'>in the same area as the restaurant</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of boat</span><br/>Make sure you get <span class='emphasis'>phone number</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL1091.json,4,"U1: can you locate for me a train that leaves on [value_day] after [value_time] pm ? thanks .<br/>S1: there is a train that leaves [value_place] at [value_time] and arrives at [value_place] at [value_time] on [value_day] .<br/>U2: that s too early . i need to leave after [value_time] .<br/>S2: the next best option will be [train_id] which leaves [value_place] at [value_time] and arrives at [value_place] at [value_time] .<br/>U3: yes . book that [value_count] for [value_count] people .<br/>S3: i have , ade the booking and here is the informationbooking was successful , the total fee is [value_price] gbp payable at the station . reference number is [train_reference] .<br/>U4: i am also looking for a place to go in the [value_area] .<br/>S4: sure , what type of attraction are you interested in ?","i would like to go to a theatre . can i please have the address , post code , and phone number to [value_count] that you recommend ?",i suggest the [attraction_name] . the address is [attraction_address] . the post code is [attraction_postcode] and the phone number is [attraction_phone] .,i would recommend [attraction_name] on [attraction_address] . their phone number is [attraction_phone] .,"the address is [attraction_address] , postcode [attraction_postcode] . phone number is [attraction_phone] .","[attraction_name] is located at [attraction_address] , postcode [attraction_postcode] . the phone number is [attraction_phone] .","You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>train</span>. The train should leave on <span class='emphasis'>tuesday</span> and should <span class='emphasis'>leave after 15:15</span><br/>The train should depart from <span class='emphasis'>cambridge</span> and should go to <span class='emphasis'>kings lynn</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>8 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the <span class='emphasis'>centre</span> and should be in the type of <span class='emphasis'>theatre</span><br/>Make sure you get <span class='emphasis'>address</span>, <span class='emphasis'>postcode</span>, and <span class='emphasis'>phone number</span>"
SNG1066.json,0,nan,could you help me find a boat to visit on the [value_area] side ?,i have [value_count] in that area . it s called the [attraction_name] . it s located at [attraction_address] . would you like their phone number for more information ?,[attraction_name] is located in the [value_area] . would you like more information ?,the phone number is [attraction_phone] . the address is [attraction_address] .,i have [value_count] _UNK in the [value_area] of town . it is [attraction_name] . would you like more information ?,You are looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>boat</span> and should be in the <span class='emphasis'>north</span><br/>Make sure you get <span class='emphasis'>phone number</span> and <span class='emphasis'>entrance fee</span>
PMUL4026.json,2,U1: i am looking for a [value_pricerange] -ly priced [value_food] restaurant .<br/>S1: i have several options for you . what area would you like to dine in today ?<br/>U2: in the [value_area] part of town for [value_count] people<br/>S2: [attraction_name] looks like it will be perfect for you . what day and time would you like to book the table for ?,i would like the reservation to be for [value_count] people at [value_time] on [value_day] .,the reservation at [restaurant_name] was successfull for [value_day] at [value_time] for [value_count] people . the reference number is [restaurant_reference] .,booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] .,i was able to book a table for [value_count] at [value_time] on [value_day] . your reference number is [restaurant_reference] .,i have booked you a table for [value_count] at [value_time] on [value_day] at [restaurant_name] . your reference number is [restaurant_reference] . is there anything else i can help you with ?,You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should serve <span class='emphasis'>indian</span> food and should be in the <span class='emphasis'>moderate</span> price range<br/>The restaurant should be in the <span class='emphasis'>west</span><br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>6 people</span> at <span class='emphasis'>17:30</span> on <span class='emphasis'>wednesday</span><br/>If the booking fails how about <span class='emphasis'>tuesday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>concerthall</span><br/>Make sure you get <span class='emphasis'>area</span> and <span class='emphasis'>entrance fee</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>
PMUL2670.json,3,"U1: hi , i am excited to visit some of [value_place] s tourist attractions soon . can you help me find a place to stay ?<br/>S1: yes , i can help with that . what area would you like to stay in ?<br/>U2: i would like it to be in the [value_area] .<br/>S2: there are [value_count] options for hotel -s in the [value_area] , is there a particular price range you are looking for ?<br/>U3: i would like it to be in the [value_pricerange] price .<br/>S3: [attraction_name] is located in [attraction_address] , [attraction_postcode] can i go ahead in booking ?",can you give me the star rating of [attraction_name] ?,[hotel_name] is a [value_count] star establishment . would you like me to book it for you ?,"yes , it is a [value_count] star hotel .",the postcode is [hotel_postcode] and the address is [hotel_address] .,[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] . would you like me to book it for you ?,"You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to stay</span>. The hotel should <span class='emphasis'>include free parking</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>The hotel should be in the <span class='emphasis'>east</span> and should be in the type of <span class='emphasis'>hotel</span><br/>If there is no such hotel, how about one that is in <span class='emphasis'>the type of guesthouse</span><br/>Make sure you get <span class='emphasis'>star of the hotel</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>museum</span><br/>Make sure you get <span class='emphasis'>address</span> and <span class='emphasis'>area</span>"
MUL0099.json,10,"U1: find me a [value_food] restaurant in the [value_area] of [value_place] .<br/>S1: [restaurant_name] fits your criteria , can i book that for you ?<br/>U2: yes , please book that for me .<br/>S2: how many people and what time and day are you looking at ?<br/>U3: i need the table booked for [value_day] at [value_time] for [value_count] people . thanks . also could i get the ref # ?<br/>S3: booking was successful . your reference number is [hotel_reference] , they will only hold your table for [value_count] minutes . is there anything else i can assist you with today ?<br/>U4: great i also am looking for a hotel to stay at that include -s free parking . what s available ?<br/>S4: i have found [hotel_name] which is a [value_count] star guesthouse and include -s free parking .<br/>U5: actually , i am looking for a hotel and in the same price range as the restaurant .<br/>S5: can you please restate your hotel needs clearly ? thank you !<br/>U6: yes i need a hotel in the same price range as the restaurant with free parking .<br/>S6: there are [value_count] hotel -s in the [value_pricerange] price range . do you have any other preferences ?<br/>U7: can you give me the first [value_count] and the star rating for it please ? it has to have free parking .<br/>S7: [hotel_name] is rated [value_count] stars . do you want me to make a booking there ?<br/>U8: does the express by holiday inn have free parking ?<br/>S8: yes , the express by holiday inn does have free parking . do you want me to go ahead and make a booking for you ?<br/>U9: yes also i will need a taxi to get me between the hotel and the restaurant . i will need a contact number and car type with the booking .<br/>S9: first i need to know how many are in your party , what day you wish to check in , and how many nights you need a room .<br/>U10: i would just like to book a taxi between the [value_count] . i would like to get to the restaurant by my reservation time and i'll need the contact number and car type please .<br/>S10: your reservation is for [value_time] with reference number [restaurant_reference] . and i have reserved a [taxi_type] to get you there . contact number is [taxi_phone] .",what time will the taxi arrive ?,it will take about twenty minutes to get to the restaurant from the hotel . say the taxi gets there at [value_time] ?,i have booked you a [taxi_type] . the contact number is [taxi_phone] .,the car is a [taxi_type] .,the car is a [taxi_type] . the contact number is [taxi_phone] . is there anything else i can help you with ?,You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should serve <span class='emphasis'>mediterranean</span> food and should be in the <span class='emphasis'>centre</span><br/>The restaurant should be in the <span class='emphasis'>expensive</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>3 people</span> at <span class='emphasis'>12:15</span> on <span class='emphasis'>monday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should <span class='emphasis'>include free parking</span> and should be in the type of <span class='emphasis'>hotel</span><br/>The hotel should be in the <span class='emphasis'>same price range as the restaurant</span><br/>Make sure you get <span class='emphasis'>star of the hotel</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>
MUL0148.json,5,"U1: i am looking for a centrally located upscale restaurant .<br/>S1: i can book you at the [restaurant_name] if you would like .<br/>U2: for [value_count] people , at [value_time] on [value_day] . reference number please .<br/>S2: ok . i have booked your table . your reference number is [hotel_reference] . can i help with anything else ?<br/>U3: yes . i a place to stay . a upscale hotel please .<br/>S3: there are [value_count] hotel -s in that area , can you give me a price range and a star rating to narrow down the search ?<br/>U4: i prefer upscale and want to stay in a hotel rather than a guesthouse . i also need free parking .<br/>S4: [hotel_name] is located [value_area] and has [value_count] stars . does this sound okay to you ?<br/>U5: does it have free parking ? and internet ?<br/>S5: yes , the [hotel_name] has both free parking and internet . would you like me to book a room for you ?",not right now . can i please have the address and phone number of the [hotel_name] ?,"of course ! the address of the [hotel_name] is [hotel_address] and it s phone number is [hotel_phone] , would you like anything else ?","sure , the address is [hotel_address] and the phone number is [hotel_phone] .",the phone number is [hotel_phone] and the address is [hotel_address] .,the [hotel_name] is located at [hotel_address] and their phone number is [hotel_phone] .,"You are planning your trip in Cambridge<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should be in the <span class='emphasis'>expensive</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>3 people</span> at <span class='emphasis'>17:30</span> on <span class='emphasis'>sunday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should be in the <span class='emphasis'>same price range as the restaurant</span> and should be in the type of <span class='emphasis'>hotel</span><br/>The hotel should <span class='emphasis'>include free parking</span><br/>Make sure you get <span class='emphasis'>phone number</span>, <span class='emphasis'>whether they have internet</span>, and <span class='emphasis'>address</span>"
MUL1546.json,2,"U1: do you have a [value_day] train that i can take to [value_place] ? i want to try some local restaurant -s .<br/>S1: we have thousands of options , i will need to narrow this down . where will you be coming from and do you have a date and time preference ?<br/>U2: yes , i would like to arrive by [value_time] on [value_day] . thanks .<br/>S2: their is a departure at [value_place] on [value_day] at [value_time] am .",book that for me please . i need it for [value_count] people .,it s booked and will cost [value_count] gbp which is payable at the station . your reference number is [train_reference] .,i have booked you [value_count] tickets on the [train_id] . your reference number is [train_reference] . is there anything else i can help you with ?,i have booked you [value_count] tickets on [train_id] leaving [value_place] at [value_time] . your reference number is [train_reference] .,i have booked [value_count] tickets for you . the total fee is [value_price] gbp payable at the station . your reference number is [train_reference] . is there anything else i can help you with ?,You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>train</span>. The train should leave on <span class='emphasis'>monday</span> and should go to <span class='emphasis'>cambridge</span><br/>The train should <span class='emphasis'>arrive by 12:15</span> and should depart from <span class='emphasis'>stevenage</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>5 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>particular restaurant</span>. Its name is called <span class='emphasis'>golden house</span><br/>Make sure you get <span class='emphasis'>phone number</span> and <span class='emphasis'>price range</span>
MUL1342.json,3,"U1: hi , i am trying to find a [value_pricerange] place to eat in the [value_area] . can you help ?<br/>S1: i have found a place called [restaurant_name] that fits that . would you like me to place a reservation for you ?<br/>U2: actually i am more interested in middle eastern foods .<br/>S2: i have no listings for middle [value_area] food , another type maybe ?<br/>U3: i think then that [value_food] place sounds nice , thank you .<br/>S3: can you tell me the day and time you would like to eat , and how many people i should book the table for ?",yes . i'll be needing a table for [value_count] on [value_day] at [value_time] .,booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] .,booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] .,i was able to book a table for [value_count] at [value_time] on [value_day] . your reference number is [restaurant_reference] .,i have booked you a table for [value_count] at [restaurant_name] at [value_time] on [value_day] . your reference number is [restaurant_reference] . is there anything else i can help you with ?,"You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should be in the <span class='emphasis'>east</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>The restaurant should serve <span class='emphasis'>middle eastern</span> food<br/>If there is no such restaurant, how about one that serves <span class='emphasis'>indian</span> food<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>8 people</span> at <span class='emphasis'>12:15</span> on <span class='emphasis'>sunday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should have <span class='emphasis'>a star of 2</span> and should <span class='emphasis'>include free wifi</span><br/>The hotel should <span class='emphasis'>include free parking</span><br/>Once you find the <span class='emphasis'>hotel</span> you want to book it for <span class='emphasis'>the same group of people</span> and <span class='emphasis'>2 nights</span> starting from <span class='emphasis'>the same day</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
MUL0842.json,4,"U1: can you help me find a place to eat ? i am looking for somewhere in the [value_area] with a [value_pricerange] price .<br/>S1: there is the [restaurant_name] and [restaurant_name] restuarants serving [value_food] food . then there is the [restaurant_name] serving [value_food] food . which would you like more information on ?<br/>U2: i think i would like to try [attraction_name] . could you book me a table for [value_count] on [value_day] at [value_time] ?<br/>S2: your reservation has been booked . your reference number is [attraction_reference] . please be aware that your table will only be reserved until [value_time] . can i provide any more assistance ?<br/>U3: i am also looking for things to do in the same general area as the restaurant .<br/>S3: sure , are you interested in museums , sports , parks , entertainment , swimming or boating ?<br/>U4: are there any cinemas ? if there is not what about something that has to do with multiple sports ?<br/>S4: there are not any cinemas in the general area , but what types of sports are you interested in ?",all of them . what s there ?,"[attraction_name] is the only [value_count] located there , their address is [attraction_address] . anything else i can help you with ?","i am sorry , but there are no _UNK restaurant -s in the [value_area] . would you like to try a different type of attraction or a different area ?","i am sorry , i was able to book that for you . your reference number is [restaurant_reference] .","i have [value_count] _UNK in the [value_area] . the [attraction_name] , [attraction_name] , and [attraction_name] . would you like more information on [value_count] of them ?","You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>east</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>1 people</span> at <span class='emphasis'>16:15</span> on <span class='emphasis'>monday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be <span class='emphasis'>in the same area as the restaurant</span> and should be in the type of <span class='emphasis'>cinema</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of mutliple sports</span><br/>Make sure you get <span class='emphasis'>phone number</span>"
